,uuid,Company_Names,census_id,count,uuid_comp
0,d954b22d-0031-4b02-b91d-f86c1fbd8d22,,55,343,d954b22d-0031-4b02-b91d-f86c1fbd8d22
1,5993a94c-7d97-4df7-9abf-e493bfd5d000,,55,283,5993a94c-7d97-4df7-9abf-e493bfd5d000
2,fbdde4c1-57ed-b42f-7b9f-dd517b53f2f2,,147,177,fbdde4c1-57ed-b42f-7b9f-dd517b53f2f2
3,5993a94c-7d97-4df7-9abf-e493bfd5d000,,1248,163,5993a94c-7d97-4df7-9abf-e493bfd5d000
4,5993a94c-7d97-4df7-9abf-e493bfd5d000,,53,114,5993a94c-7d97-4df7-9abf-e493bfd5d000
5,dc4f4e8e-d7b0-4e72-b609-97f2796149f9,,61,112,dc4f4e8e-d7b0-4e72-b609-97f2796149f9
6,5993a94c-7d97-4df7-9abf-e493bfd5d000,,72,111,5993a94c-7d97-4df7-9abf-e493bfd5d000
7,50765cb7-d9ea-4e21-99a4-fa879613a492,,34,104,50765cb7-d9ea-4e21-99a4-fa879613a492
8,50765cb7-d9ea-4e21-99a4-fa879613a492,,147,91,50765cb7-d9ea-4e21-99a4-fa879613a492
9,8277a5f1-4166-45d1-9f97-905df2a427d5,,13,78,8277a5f1-4166-45d1-9f97-905df2a427d5
10,504f4c45-5354-4152-0000-000000000000,Omni access stellar (Alcatel Lucent),109,73,Omni access stellar (Alcatel Lucent)
11,e2c56db5-dffb-48d2-b060-d0f5a71096e0,Apple AirLocate,109,65,Apple AirLocate
12,504f4c45-5354-4152-0000-000000000000,Omni access stellar (Alcatel Lucent),141,63,Omni access stellar (Alcatel Lucent)
13,74278bda-b644-4520-8f0c-720eaf059935,Glimworm,34,59,Glimworm
14,f7b5c2e9-949d-49f3-bb3b-08762506cec1,,120,58,f7b5c2e9-949d-49f3-bb3b-08762506cec1
15,fbdde4c1-57ed-b42f-7b9f-dd517b53f2f2,,154,58,fbdde4c1-57ed-b42f-7b9f-dd517b53f2f2
16,50765cb7-d9ea-4e21-99a4-fa879613a492,,141,52,50765cb7-d9ea-4e21-99a4-fa879613a492
17,d954b22d-0031-4b02-b91d-f86c1fbd8d22,,34,52,d954b22d-0031-4b02-b91d-f86c1fbd8d22
18,74278bda-b644-4520-8f0c-720eaf059935,Glimworm,147,51,Glimworm
19,5993a94c-7d97-4df7-9abf-e493bfd5d000,,1246,49,5993a94c-7d97-4df7-9abf-e493bfd5d000
20,2686f39c-bada-4658-854a-a62e7e5e8b8d,,34,49,2686f39c-bada-4658-854a-a62e7e5e8b8d
21,4a84c409-89e1-497c-8251-2f2d778db8d6,,34,48,4a84c409-89e1-497c-8251-2f2d778db8d6
22,e2c56db5-dffb-48d2-b060-d0f5a71096e0,Apple AirLocate,34,47,Apple AirLocate
23,2f24dda5-6745-4d39-99cf-d6cbea086401,,61,45,2f24dda5-6745-4d39-99cf-d6cbea086401
24,5993a94c-7d97-4df7-9abf-e493bfd5d000,,66,44,5993a94c-7d97-4df7-9abf-e493bfd5d000
25,74278bda-b644-4520-8f0c-720eaf059935,Glimworm,749,44,Glimworm
26,2a955cfd-667b-4ac8-9141-73b9c168da7e,,108,43,2a955cfd-667b-4ac8-9141-73b9c168da7e
27,50765cb7-d9ea-4e21-99a4-fa879613a492,,109,43,50765cb7-d9ea-4e21-99a4-fa879613a492
28,fbdde4c1-57ed-b42f-7b9f-dd517b53f2f2,,141,43,fbdde4c1-57ed-b42f-7b9f-dd517b53f2f2
29,5993a94c-7d97-4df7-9abf-e493bfd5d000,,749,42,5993a94c-7d97-4df7-9abf-e493bfd5d000
30,2a955cfd-667b-4ac8-9141-73b9c168da7e,,119,40,2a955cfd-667b-4ac8-9141-73b9c168da7e
31,50765cb7-d9ea-4e21-99a4-fa879613a492,,51,40,50765cb7-d9ea-4e21-99a4-fa879613a492
32,50765cb7-d9ea-4e21-99a4-fa879613a492,,29,40,50765cb7-d9ea-4e21-99a4-fa879613a492
33,e2c56db5-dffb-48d2-b060-d0f5a71096e0,Apple AirLocate,855,39,Apple AirLocate
34,fbdde4c1-57ed-b42f-7b9f-dd517b53f2f2,,29,38,fbdde4c1-57ed-b42f-7b9f-dd517b53f2f2
35,2a955cfd-667b-4ac8-9141-73b9c168da7e,,106,36,2a955cfd-667b-4ac8-9141-73b9c168da7e
36,50765cb7-d9ea-4e21-99a4-fa879613a492,,23,36,50765cb7-d9ea-4e21-99a4-fa879613a492
37,d954b22d-0031-4b02-b91d-f86c1fbd8d22,,53,35,d954b22d-0031-4b02-b91d-f86c1fbd8d22
38,2686f39c-bada-4658-854a-a62e7e5e8b8d,,147,34,2686f39c-bada-4658-854a-a62e7e5e8b8d
39,89d91339-52a3-405a-9f15-dba920f2726c,,109,34,89d91339-52a3-405a-9f15-dba920f2726c
40,74278bda-b644-4520-8f0c-720eaf059935,Glimworm,109,33,Glimworm
41,50765cb7-d9ea-4e21-99a4-fa879613a492,,767,33,50765cb7-d9ea-4e21-99a4-fa879613a492
42,d77657c4-52a7-426f-b9d0-d71e10798c8a,SXSW,147,31,SXSW
43,8a21c76b-74e3-4341-92be-33fcfdefdd63,,34,31,8a21c76b-74e3-4341-92be-33fcfdefdd63
44,8a21c76b-74e3-4341-92be-33fcfdefdd63,,23,31,8a21c76b-74e3-4341-92be-33fcfdefdd63
45,74278bda-b644-4520-8f0c-720eaf059935,Glimworm,145,31,Glimworm
46,2a955cfd-667b-4ac8-9141-73b9c168da7e,,115,30,2a955cfd-667b-4ac8-9141-73b9c168da7e
47,2686f39c-bada-4658-854a-a62e7e5e8b8d,,13,29,2686f39c-bada-4658-854a-a62e7e5e8b8d
48,50765cb7-d9ea-4e21-99a4-fa879613a492,,13,29,50765cb7-d9ea-4e21-99a4-fa879613a492
49,504f4c45-5354-4152-0000-000000000000,Omni access stellar (Alcatel Lucent),147,29,Omni access stellar (Alcatel Lucent)
50,74278bda-b644-4520-8f0c-720eaf059935,Glimworm,769,28,Glimworm
51,5993a94c-7d97-4df7-9abf-e493bfd5d000,,78,28,5993a94c-7d97-4df7-9abf-e493bfd5d000
52,74278bda-b644-4520-8f0c-720eaf059935,Glimworm,55,27,Glimworm
53,50765cb7-d9ea-4e21-99a4-fa879613a492,,846,27,50765cb7-d9ea-4e21-99a4-fa879613a492
54,2686f39c-bada-4658-854a-a62e7e5e8b8d,,748,27,2686f39c-bada-4658-854a-a62e7e5e8b8d
55,5993a94c-7d97-4df7-9abf-e493bfd5d000,,1092,26,5993a94c-7d97-4df7-9abf-e493bfd5d000
56,8277a5f1-4166-45d1-9f97-905df2a427d5,,19,25,8277a5f1-4166-45d1-9f97-905df2a427d5
57,8277a5f1-4166-45d1-9f97-905df2a427d5,,29,24,8277a5f1-4166-45d1-9f97-905df2a427d5
58,d77657c4-52a7-426f-b9d0-d71e10798c8a,SXSW,141,24,SXSW
59,74278bda-b644-4520-8f0c-720eaf059935,Glimworm,122,24,Glimworm
