type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-10-16 20:48:35,40.72610280,-74.00050945,23,4.000,,0.000,,5,21,20211016-164835,GPS Logger: 20211016-164835
T,2021-10-16 20:48:37,40.72610185,-74.00053719,22,1.000,,0.000,,6,21,,
T,2021-10-16 20:48:38,40.72610470,-74.00055114,23,0.000,,0.000,,5,21,,
T,2021-10-16 20:48:40,40.72609185,-74.00053012,22,-2.000,,0.000,,4,21,,
T,2021-10-16 20:48:53,40.72608452,-74.00053031,9,-5.000,,0.000,,7,21,,
T,2021-10-16 20:48:54,40.72607208,-74.00053460,8,-4.000,,0.710,190,7,21,,
T,2021-10-16 20:48:55,40.72607277,-74.00052020,7,-4.000,,0.280,269,7,21,,
T,2021-10-16 20:48:56,40.72608657,-74.00055825,7,-5.000,,0.310,230,8,21,,
T,2021-10-16 20:48:57,40.72608944,-74.00055920,7,-5.000,,0.000,,8,21,,
T,2021-10-16 20:48:58,40.72609080,-74.00057182,7,-5.000,,0.580,238,8,21,,
T,2021-10-16 20:49:02,40.72608553,-74.00061302,6,-4.000,,0.810,232,7,21,,
T,2021-10-16 20:49:03,40.72607807,-74.00065550,5,-8.000,,0.910,224,7,21,,
T,2021-10-16 20:49:04,40.72608308,-74.00070797,5,-10.000,,1.300,265,7,21,,
T,2021-10-16 20:49:05,40.72607645,-74.00072676,4,-11.000,,1.170,213,7,21,,
T,2021-10-16 20:49:06,40.72607424,-74.00075649,4,-12.000,,1.230,230,7,21,,
T,2021-10-16 20:49:08,40.72606464,-74.00075292,4,-11.000,,0.760,175,7,21,,
T,2021-10-16 20:49:09,40.72604483,-74.00074921,5,-11.000,,1.150,189,7,21,,
T,2021-10-16 20:49:10,40.72602584,-74.00074722,8,-11.000,,1.270,186,7,21,,
T,2021-10-16 20:49:11,40.72600859,-74.00073916,7,-11.000,,0.810,173,7,21,,
T,2021-10-16 20:49:12,40.72598354,-74.00070725,6,-9.000,,1.110,137,7,21,,
T,2021-10-16 20:49:14,40.72597366,-74.00072169,8,-8.000,,0.380,174,9,21,,
T,2021-10-16 20:49:15,40.72596786,-74.00070923,8,-8.000,,0.000,,7,21,,
T,2021-10-16 20:49:16,40.72596929,-74.00071369,8,-7.000,,0.000,,5,21,,
T,2021-10-16 20:49:17,40.72595710,-74.00070207,8,-7.000,,0.720,174,7,21,,
T,2021-10-16 20:49:18,40.72595364,-74.00068822,7,-5.000,,0.180,35,7,21,,
T,2021-10-16 20:49:21,40.72596128,-74.00068574,6,-4.000,,0.250,9,7,22,,
T,2021-10-16 20:49:22,40.72595929,-74.00066093,5,-3.000,,0.000,,8,22,,
T,2021-10-16 20:49:41,40.72595523,-74.00064841,13,-2.000,,0.000,,5,22,,
