type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-09-08 22:47:51,40.69292612,-73.98638731,19,28.938,,0.000,,21,26,20210908-184751,GPS Logger: 20210908-184751
T,2021-09-08 22:47:52,40.69292953,-73.98638586,18,26.942,,0.000,,21,26,,
T,2021-09-08 22:47:54,40.69290300,-73.98636255,17,25.957,,0.440,338,16,26,,
T,2021-09-08 22:47:55,40.69290039,-73.98635891,17,25.997,,0.650,331,15,26,,
T,2021-09-08 22:47:56,40.69287541,-73.98633080,17,25.700,,0.480,352,17,26,,
T,2021-09-08 22:47:57,40.69287606,-73.98631988,16,26.024,,0.810,18,16,26,,
T,2021-09-08 22:47:58,40.69287368,-73.98630946,15,26.409,,0.730,17,16,26,,
T,2021-09-08 22:47:59,40.69287460,-73.98630050,15,26.663,,0.820,13,16,26,,
T,2021-09-08 22:48:00,40.69287315,-73.98629182,15,26.161,,0.820,10,16,26,,
T,2021-09-08 22:48:01,40.69286787,-73.98628417,14,25.944,,0.640,9,16,26,,
T,2021-09-08 22:48:02,40.69286424,-73.98627540,14,26.589,,0.680,13,15,26,,
T,2021-09-08 22:48:03,40.69286162,-73.98626547,13,27.169,,0.570,13,15,26,,
T,2021-09-08 22:48:04,40.69285741,-73.98625186,12,28.880,,0.480,353,15,26,,
T,2021-09-08 22:48:05,40.69285657,-73.98624167,12,29.740,,0.420,22,14,26,,
T,2021-09-08 22:48:06,40.69285739,-73.98622979,12,30.054,,0.700,14,14,26,,
T,2021-09-08 22:48:07,40.69285873,-73.98622206,12,30.681,,0.530,2,16,26,,
T,2021-09-08 22:48:08,40.69286320,-73.98621480,11,30.862,,0.570,359,17,26,,
T,2021-09-08 22:48:09,40.69286688,-73.98620870,11,31.782,,0.580,359,17,26,,
T,2021-09-08 22:48:10,40.69287077,-73.98620370,11,32.464,,0.580,356,17,26,,
T,2021-09-08 22:48:11,40.69287359,-73.98619906,10,33.146,,0.520,352,17,26,,
T,2021-09-08 22:48:12,40.69287071,-73.98619371,11,33.179,,0.000,,17,26,,
T,2021-09-08 22:48:13,40.69286964,-73.98619217,11,33.199,,0.000,,18,26,,
T,2021-09-08 22:48:24,40.69286933,-73.98619765,11,33.560,,0.000,,15,26,,
T,2021-09-08 22:48:25,40.69287330,-73.98619932,11,33.725,,0.640,332,15,26,,
T,2021-09-08 22:48:26,40.69287629,-73.98619808,11,34.280,,0.670,345,15,26,,
T,2021-09-08 22:48:27,40.69288116,-73.98619671,11,34.706,,0.940,350,16,26,,
T,2021-09-08 22:48:28,40.69288400,-73.98619354,11,35.494,,0.670,354,17,26,,
T,2021-09-08 22:48:29,40.69288814,-73.98619077,11,36.129,,0.840,348,17,26,,
T,2021-09-08 22:48:30,40.69289287,-73.98618910,11,36.801,,0.760,352,17,26,,
T,2021-09-08 22:48:31,40.69289772,-73.98618644,10,38.611,,0.720,347,16,26,,
T,2021-09-08 22:48:32,40.69290746,-73.98617976,11,35.070,,0.750,353,16,26,,
T,2021-09-08 22:48:33,40.69291556,-73.98617120,10,35.881,,0.730,2,15,26,,
T,2021-09-08 22:48:34,40.69292258,-73.98616410,10,36.662,,0.770,355,16,26,,
T,2021-09-08 22:48:35,40.69292782,-73.98616056,10,37.123,,0.820,338,16,26,,
T,2021-09-08 22:48:36,40.69293315,-73.98615689,10,37.579,,0.910,352,15,26,,
T,2021-09-08 22:48:37,40.69293926,-73.98615411,10,37.592,,0.890,359,16,26,,
T,2021-09-08 22:48:38,40.69294503,-73.98615880,9,37.503,,0.840,351,16,26,,
T,2021-09-08 22:48:39,40.69294918,-73.98616340,9,38.583,,0.870,337,16,26,,
T,2021-09-08 22:48:40,40.69295384,-73.98616498,9,39.429,,0.960,353,15,26,,
T,2021-09-08 22:48:41,40.69295753,-73.98616469,9,37.493,,0.810,5,15,26,,
T,2021-09-08 22:48:43,40.69296702,-73.98615361,13,35.533,,0.810,35,14,26,,
T,2021-09-08 22:48:44,40.69297385,-73.98615217,13,35.986,,0.990,9,14,26,,
T,2021-09-08 22:48:45,40.69298050,-73.98615271,13,36.387,,0.860,10,14,26,,
T,2021-09-08 22:48:46,40.69299391,-73.98614494,13,32.853,,0.850,3,14,26,,
T,2021-09-08 22:48:47,40.69300491,-73.98614296,13,33.072,,0.840,0,14,26,,
T,2021-09-08 22:48:48,40.69301436,-73.98614196,13,33.698,,0.850,5,14,26,,
T,2021-09-08 22:48:49,40.69302291,-73.98614036,13,34.116,,0.850,4,14,26,,
T,2021-09-08 22:48:50,40.69303100,-73.98614174,13,34.272,,0.880,355,14,26,,
T,2021-09-08 22:48:51,40.69303911,-73.98614481,13,34.502,,0.920,338,14,25,,
T,2021-09-08 22:48:52,40.69304847,-73.98614408,13,34.166,,1.010,4,14,26,,
T,2021-09-08 22:48:53,40.69305672,-73.98614588,13,31.356,,1.040,335,14,26,,
T,2021-09-08 22:48:54,40.69306436,-73.98614625,12,29.025,,0.930,346,14,26,,
T,2021-09-08 22:48:55,40.69307768,-73.98614054,12,25.672,,0.980,6,14,26,,
T,2021-09-08 22:48:56,40.69308750,-73.98613874,11,25.383,,0.930,4,14,26,,
T,2021-09-08 22:48:57,40.69309661,-73.98614100,12,26.542,,0.930,357,13,26,,
T,2021-09-08 22:48:58,40.69310629,-73.98614477,12,26.702,,0.970,6,14,26,,
T,2021-09-08 22:49:00,40.69312626,-73.98614942,12,26.685,,1.090,1,13,26,,
T,2021-09-08 22:49:02,40.69314349,-73.98614175,11,25.769,,1.060,349,14,26,,
T,2021-09-08 22:49:04,40.69316475,-73.98613582,11,21.951,,1.010,1,15,26,,
T,2021-09-08 22:49:06,40.69318365,-73.98613340,11,21.522,,1.030,9,15,26,,
T,2021-09-08 22:49:08,40.69320273,-73.98613275,11,20.014,,1.020,5,14,26,,
T,2021-09-08 22:49:09,40.69321903,-73.98616209,11,16.345,,0.830,340,10,26,,
T,2021-09-08 22:49:10,40.69323649,-73.98618047,11,14.012,,1.050,1,9,26,,
T,2021-09-08 22:49:11,40.69324927,-73.98618901,11,13.946,,1.010,358,8,26,,
T,2021-09-08 22:49:12,40.69326000,-73.98619169,11,13.920,,1.010,4,8,26,,
T,2021-09-08 22:49:13,40.69326986,-73.98619329,11,13.910,,1.010,358,8,26,,
T,2021-09-08 22:49:14,40.69328130,-73.98619911,11,12.261,,1.010,358,8,26,,
T,2021-09-08 22:49:15,40.69329361,-73.98621019,11,10.726,,1.100,339,8,26,,
T,2021-09-08 22:49:16,40.69330437,-73.98621449,11,10.595,,1.050,354,8,26,,
T,2021-09-08 22:49:17,40.69331726,-73.98621852,11,8.116,,1.020,351,7,26,,
T,2021-09-08 22:49:18,40.69332784,-73.98622260,11,7.950,,1.020,347,8,26,,
T,2021-09-08 22:49:20,40.69335508,-73.98623904,11,3.837,,1.060,354,9,26,,
T,2021-09-08 22:49:22,40.69337855,-73.98624891,11,0.246,,1.070,341,9,26,,
T,2021-09-08 22:49:24,40.69340109,-73.98625817,11,-1.112,,1.030,351,10,26,,
T,2021-09-08 22:49:26,40.69342328,-73.98627509,11,-1.968,,1.040,338,9,26,,
T,2021-09-08 22:49:28,40.69344470,-73.98628610,11,-3.108,,1.030,3,10,26,,
T,2021-09-08 22:49:29,40.69345420,-73.98629046,11,-3.030,,1.030,348,10,26,,
T,2021-09-08 22:49:30,40.69346478,-73.98630002,11,-4.232,,0.980,345,10,26,,
T,2021-09-08 22:49:31,40.69347541,-73.98630865,11,-4.373,,1.010,351,10,26,,
T,2021-09-08 22:49:32,40.69348690,-73.98631822,11,-5.009,,0.990,351,9,26,,
T,2021-09-08 22:49:33,40.69349711,-73.98632880,11,-4.883,,1.120,330,8,26,,
T,2021-09-08 22:49:34,40.69350654,-73.98633236,10,-4.658,,1.130,358,7,26,,
T,2021-09-08 22:49:35,40.69351526,-73.98633196,11,-4.335,,1.060,14,9,26,,
T,2021-09-08 22:49:36,40.69352562,-73.98633389,11,-4.840,,1.090,1,14,26,,
T,2021-09-08 22:49:37,40.69353707,-73.98633395,11,-5.969,,1.040,350,14,26,,
T,2021-09-08 22:49:38,40.69354829,-73.98633233,11,-6.800,,1.060,1,14,26,,
T,2021-09-08 22:49:40,40.69356865,-73.98633167,11,-7.532,,1.280,23,15,26,,
T,2021-09-08 22:49:42,40.69359122,-73.98635414,11,-8.578,,1.060,320,16,26,,
T,2021-09-08 22:49:44,40.69360818,-73.98636423,11,-8.001,,1.060,323,18,26,,
T,2021-09-08 22:49:46,40.69362955,-73.98635831,5,-6.431,,1.050,346,19,26,,
T,2021-09-08 22:49:48,40.69365512,-73.98635582,5,-8.602,,1.250,325,20,26,,
T,2021-09-08 22:49:50,40.69367878,-73.98635871,5,-9.155,,1.190,349,19,26,,
T,2021-09-08 22:49:51,40.69368966,-73.98635658,5,-8.646,,1.090,346,19,26,,
T,2021-09-08 22:49:52,40.69370033,-73.98635532,5,-8.219,,1.110,359,19,26,,
T,2021-09-08 22:49:53,40.69371265,-73.98635630,5,-9.596,,1.090,347,19,26,,
T,2021-09-08 22:49:54,40.69372483,-73.98635438,5,-9.939,,1.150,6,19,26,,
T,2021-09-08 22:49:55,40.69373750,-73.98634935,5,-10.566,,1.160,17,19,26,,
T,2021-09-08 22:49:56,40.69375102,-73.98634145,4,-11.950,,1.160,23,20,26,,
T,2021-09-08 22:49:57,40.69376280,-73.98633386,4,-13.089,,1.060,16,21,26,,
T,2021-09-08 22:49:58,40.69377409,-73.98632412,4,-12.838,,1.130,28,21,26,,
T,2021-09-08 22:49:59,40.69378352,-73.98631568,4,-12.627,,1.100,20,21,26,,
T,2021-09-08 22:50:00,40.69379335,-73.98630718,4,-12.598,,1.070,17,21,26,,
T,2021-09-08 22:50:02,40.69381163,-73.98629655,4,-12.678,,0.950,359,21,26,,
T,2021-09-08 22:50:04,40.69382923,-73.98629207,4,-11.696,,1.060,14,21,26,,
T,2021-09-08 22:50:06,40.69384330,-73.98628764,4,-10.897,,1.030,357,21,26,,
T,2021-09-08 22:50:08,40.69385711,-73.98628589,4,-9.166,,0.980,355,21,26,,
T,2021-09-08 22:50:09,40.69386389,-73.98628459,4,-10.285,,0.920,5,21,26,,
T,2021-09-08 22:50:10,40.69387098,-73.98628329,4,-10.760,,0.950,359,21,26,,
T,2021-09-08 22:50:11,40.69387955,-73.98628358,4,-10.044,,1.010,356,21,26,,
T,2021-09-08 22:50:12,40.69388822,-73.98627871,4,-8.969,,1.080,17,21,26,,
T,2021-09-08 22:50:13,40.69389867,-73.98627267,4,-8.480,,1.040,18,21,26,,
T,2021-09-08 22:50:14,40.69390844,-73.98626440,4,-6.983,,1.030,31,21,26,,
T,2021-09-08 22:50:15,40.69391852,-73.98625384,4,-6.028,,1.100,36,20,26,,
T,2021-09-08 22:50:16,40.69392823,-73.98624416,4,-5.115,,1.000,29,20,26,,
T,2021-09-08 22:50:17,40.69393914,-73.98623912,4,-4.156,,1.110,6,21,26,,
T,2021-09-08 22:50:18,40.69395042,-73.98623815,4,-3.766,,1.090,346,21,26,,
T,2021-09-08 22:50:20,40.69397042,-73.98623029,4,-3.099,,0.900,7,21,26,,
T,2021-09-08 22:50:22,40.69398743,-73.98622834,4,-1.577,,1.000,351,21,26,,
T,2021-09-08 22:50:24,40.69400588,-73.98621458,4,0.867,,1.030,25,23,26,,
T,2021-09-08 22:50:26,40.69402487,-73.98620378,4,1.779,,0.990,15,23,26,,
T,2021-09-08 22:50:28,40.69404375,-73.98620106,4,3.732,,0.930,5,23,26,,
T,2021-09-08 22:50:30,40.69406444,-73.98619531,4,4.368,,1.010,19,21,26,,
T,2021-09-08 22:50:32,40.69408499,-73.98618574,4,4.200,,1.020,359,21,26,,
T,2021-09-08 22:50:34,40.69410598,-73.98617812,4,4.582,,0.990,10,20,26,,
T,2021-09-08 22:50:36,40.69412787,-73.98616470,4,6.786,,1.000,23,20,26,,
T,2021-09-08 22:50:38,40.69415014,-73.98614941,5,7.633,,1.010,32,20,26,,
T,2021-09-08 22:50:40,40.69416921,-73.98612902,5,8.644,,1.020,46,20,26,,
T,2021-09-08 22:50:43,40.69418824,-73.98610055,5,9.223,,1.040,36,20,26,,
T,2021-09-08 22:50:46,40.69421084,-73.98608573,5,10.788,,0.920,21,20,26,,
T,2021-09-08 22:50:49,40.69423642,-73.98605657,5,11.717,,0.950,30,20,26,,
T,2021-09-08 22:50:52,40.69426604,-73.98603736,5,11.035,,0.900,24,20,26,,
T,2021-09-08 22:50:55,40.69429479,-73.98602029,5,8.839,,0.890,22,20,26,,
T,2021-09-08 22:50:58,40.69432170,-73.98599788,4,7.533,,0.880,31,19,26,,
T,2021-09-08 22:51:01,40.69435152,-73.98598555,4,6.732,,0.900,1,18,26,,
T,2021-09-08 22:51:04,40.69437841,-73.98599528,4,5.594,,0.850,343,20,26,,
T,2021-09-08 22:51:54,40.69438425,-73.98594901,6,4.292,,0.000,,18,26,,
T,2021-09-08 22:51:55,40.69438413,-73.98594912,6,4.308,,0.000,,17,26,,
T,2021-09-08 22:51:56,40.69438132,-73.98594907,6,3.989,,0.290,141,17,26,,
T,2021-09-08 22:51:57,40.69437812,-73.98594903,6,3.375,,0.280,148,17,26,,
T,2021-09-08 22:51:58,40.69437332,-73.98594981,6,3.282,,0.470,174,20,26,,
T,2021-09-08 22:51:59,40.69436615,-73.98595185,6,2.894,,0.600,181,20,26,,
T,2021-09-08 22:52:00,40.69435927,-73.98595487,6,2.816,,0.710,189,20,26,,
T,2021-09-08 22:52:01,40.69435784,-73.98595816,6,2.806,,0.000,,20,26,,
T,2021-09-08 22:58:09,40.69421745,-73.98506744,24,97.282,,0.000,,15,26,,
T,2021-09-08 22:58:10,40.69421603,-73.98506570,24,97.996,,0.000,,15,26,,
T,2021-09-08 22:58:11,40.69421465,-73.98506364,25,98.803,,0.000,,13,26,,
T,2021-09-08 22:58:12,40.69421442,-73.98506335,27,98.891,,0.000,,10,26,,
T,2021-09-08 22:58:13,40.69421420,-73.98506386,26,98.687,,0.000,,10,26,,
T,2021-09-08 22:58:14,40.69421368,-73.98506508,24,97.896,,0.000,,10,26,,
T,2021-09-08 22:58:15,40.69418602,-73.98510208,23,99.791,,0.550,300,11,26,,
T,2021-09-08 22:58:16,40.69410851,-73.98513911,24,87.240,,0.000,,11,26,,
T,2021-09-08 22:58:17,40.69408799,-73.98517481,22,84.811,,0.000,,13,26,,
T,2021-09-08 22:58:18,40.69409201,-73.98520852,22,81.891,,0.000,,12,26,,
T,2021-09-08 22:58:19,40.69408830,-73.98523319,21,75.307,,0.000,,13,26,,
T,2021-09-08 22:58:20,40.69408805,-73.98524251,20,73.943,,0.220,311,13,26,,
T,2021-09-08 22:58:27,40.69406626,-73.98529776,14,60.728,,0.000,,17,26,,
T,2021-09-08 22:58:28,40.69405579,-73.98529949,14,60.015,,0.000,,17,26,,
T,2021-09-08 22:58:29,40.69405459,-73.98529802,13,58.133,,0.000,,18,26,,
T,2021-09-08 22:58:30,40.69405431,-73.98529539,13,56.976,,0.000,,16,26,,
T,2021-09-08 22:58:31,40.69405515,-73.98529327,15,56.528,,0.000,,17,26,,
T,2021-09-08 22:58:32,40.69405283,-73.98529066,15,56.508,,0.000,,18,26,,
T,2021-09-08 22:58:33,40.69405030,-73.98528752,15,56.474,,0.000,,17,26,,
T,2021-09-08 22:58:34,40.69404868,-73.98528525,15,56.613,,0.000,,17,26,,
T,2021-09-08 22:58:35,40.69404757,-73.98528395,15,56.727,,0.000,,15,26,,
T,2021-09-08 22:58:36,40.69404619,-73.98528229,15,57.081,,0.000,,15,26,,
T,2021-09-08 22:58:37,40.69404517,-73.98528139,15,57.335,,0.000,,12,26,,
T,2021-09-08 22:58:38,40.69404405,-73.98528023,15,57.664,,0.000,,12,26,,
T,2021-09-08 22:58:39,40.69404397,-73.98528028,15,57.546,,0.000,,12,26,,
T,2021-09-08 22:58:40,40.69404357,-73.98528005,15,57.652,,0.000,,12,26,,
T,2021-09-08 22:58:41,40.69404366,-73.98528020,15,57.571,,0.000,,12,26,,
T,2021-09-08 22:58:42,40.69404339,-73.98528017,15,57.599,,0.000,,12,26,,
T,2021-09-08 22:58:43,40.69404257,-73.98527980,15,57.814,,0.000,,12,26,,
T,2021-09-08 22:58:44,40.69404151,-73.98527880,15,58.129,,0.000,,12,26,,
T,2021-09-08 22:58:45,40.69403992,-73.98527789,15,58.441,,0.000,,12,26,,
T,2021-09-08 22:58:46,40.69403950,-73.98527767,15,58.398,,0.000,,13,26,,
T,2021-09-08 22:58:47,40.69403946,-73.98527797,15,58.317,,0.000,,13,26,,
T,2021-09-08 22:58:48,40.69403859,-73.98527761,15,58.362,,0.000,,13,25,,
