S.NO.,Company_Names,Example_UUID,Namespace_id,,
1,BlueCats (Plus Location Systems,61687109-905f-4436-91f8-e602f514c96d,,,
2,Bluebar (BlueSense),a0b13730-3a9a-11e3-aa6e-0800200c9a66,,,
3,Estimote,b9407f30-f5f8-466e-aff9-25556b57fe6d,,,
4,Gelo,11e44f09-4ec4-407e-9203-cf57a50fbce0,,,
5,Glimworm,74278bda-b644-4520-8f0c-720eaf059935,,,
6,Kontakt,F7826DA6-4FA2-4E98-8024-BC5B71E0893E,,,
7,Sensorberg,73676723-7400-0000-FFFF,,,
8,Sensoro,23A01AF0-232A-4518-9C0E-323FB773F5EF,,,
9,Aruba Bluetooth Beacons (HP),4152554E-F99B-4A3B-86D0-947070693A78,,,
10,Em Microelectric (The Swatch Group Ltd.),699EBC80-E1F3-11E3-9A0F-0CF3EE3BC012,,,
11,Minew,,5dc33487f02e477d4058,,
12,Skylab,FDA50693A4E24FB1AFCFC6EB07647825,,,
13,Accent Systems,574f524c-4420-5348-4f50-50494e4700 0004 0003,,,
14,Avvel International,EBEFD083-70A2-47C8-9837-E7B5634DF524,,,
15,Apple AirLocate,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,,,
16,Ubudu,F2A74FC4-7625-44DB-9B08-CB7E130B2029,,,
17,Ubudu,11118A8E-34EC-4326-B21E-9B35F22F405B,,,
18,Ubudu,E16E8A8E-34EC-4326-B21E-9B35F22F405B,,,
19,Passkit,19D5F76A-FD04-5AA3-B16E-E93277163AF6,,,
20,Onyx beacon,20CAE8A0-A9CF-11E3-A5E2-0800200C9A66,,,
21,RadBeacon/Radius Network,2F234454-CF6D-4A0F-ADF2-F4911BA9FFA6,,,
22,RadBeacon/Radius Network,52414449-5553-4E45-5457-4F524B53434F,,,
23,Smartbeacon,85FC11DD-4CCA-4B27-AFB3-876854BB5C3B,,,
24,Roximity,8DEEFBB9-F738-4297-8040-96668BB44281,,,
25,BlueUp,ACFD065e-C3C0-11E3-9BBE-1A514932AC01,,,
26,RedBear,B0702980-A295-A8AB-F734-031A98A512DE,,,
27,RedBear,5AFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF,,,
28,Beaconinside,F0018B9B-7509-4C31-A905-1A27D39C003C,,,
29,Open Beacon,AA6062F0-98CA-4211-8EC4-193EB73CEBE6,,,
30,Twocanoes,92AB49BE-4127-42F4-B532-90FAF1E26491,,,
31,EasiBeacon/Beaconic,EBEFD083-70A2-47C8-9837-E7B5634DF524,,,
32,SB Legacy/shopnow,D57092AC-DFAA-446C-8EF3-C81AA22815B5,,,
33,Apple AirLocate,5A4BCFCE-174E-4BAC-A814-092E77F6B7E5,,,
34,Estimote virtual beacon (iOS),8492E75F-4FD6-469D-B132-043FE94921D8,,,
35,Estimote virtual beacon (Mac),08D4A950-80F0-4D42-A14B-D53E063516E6,,,
36,RecoBean,24DDF56411-8CF1-440C -C5B1-4B44-B512-1370F02D74DE,,,
37,Omni access stellar (Alcatel Lucent),504F4C45-5354-4152-0000-0[0…]00,,,
38,SXSW,d77657c4-52a7-426f-b9d0-d71e10798c8a,,,
39,Motorola MPact,fe913213-b311-4a42-8c16-47faeac938db,,,
40,Aerohive,4165726f-6869-7665-4e65-74776f726b73,,,
